eval_dataset,cmmn_filter,feature_extractor,classifier_type,is_normalized,validation_segment_len,prediction_window,mean_f1,std_f1
cue,None,psd_autocorr,logistic,False,-1.0,30.0,0.6775976055385553,0.16485406484376253
cue,None,psd_autocorr,logistic,False,-1.0,35.0,0.671998132547778,0.17163111560402614
cue,None,psd_autocorr,logistic,False,-1.0,40.0,0.7018436605361892,0.16406732110869562
cue,None,psd_autocorr,logistic,False,-1.0,45.0,0.7047056133981422,0.15960006470850013
cue,None,psd_autocorr,logistic,False,-1.0,50.0,0.7006423746274565,0.15595534514896808
cue,None,psd_autocorr,logistic,False,300.0,0.15,0.433716545850014,0.2434291474482889
cue,None,psd_autocorr,logistic,False,300.0,0.325,0.46864893014987735,0.1949493035767207
cue,None,psd_autocorr,logistic,False,300.0,0.5,0.5377450544510617,0.19961957178614528
cue,None,psd_autocorr,logistic,False,300.0,0.65,0.5408681468120827,0.22147031268885592
cue,None,psd_autocorr,logistic,False,300.0,0.825,0.5334424496907911,0.2281211766834695
cue,None,psd_autocorr,logistic,False,300.0,1.0,0.5461363126486293,0.2282023958586949
cue,None,psd_autocorr,logistic,False,300.0,2.0,0.5900068354496051,0.2196181646284113
cue,None,psd_autocorr,logistic,False,300.0,3.0,0.6061726817715215,0.1962013797170708
cue,None,psd_autocorr,logistic,False,300.0,4.0,0.5998399057670628,0.1878930124626124
cue,None,psd_autocorr,logistic,False,300.0,5.0,0.6045368480802459,0.2034156175172371
cue,None,psd_autocorr,logistic,False,300.0,10.0,0.6341304678160204,0.21010496561145237
cue,None,psd_autocorr,logistic,False,300.0,15.0,0.6361240141437023,0.19617323964050823
cue,None,psd_autocorr,logistic,False,300.0,20.0,0.6564009211172331,0.19302838328079658
cue,None,psd_autocorr,logistic,False,300.0,25.0,0.6595755242918363,0.1928422558099362
cue,None,psd_autocorr,logistic,False,300.0,30.0,0.6614502219212509,0.19451515133983766
cue,None,psd_autocorr,logistic,False,300.0,35.0,0.67099592432967,0.19383148777871712
cue,None,psd_autocorr,logistic,False,300.0,40.0,0.6723215935554318,0.19671799857633543
cue,None,psd_autocorr,logistic,False,300.0,45.0,0.6718335766300884,0.19883813643582798
