eval_dataset,cmmn_filter,feature_extractor,classifier_type,is_normalized,validation_segment_len,prediction_window,mean_f1,std_f1
emotion_study,normed-barycenter,bowav,random_forest,True,-1,5.0,0.8443444315395535,0.08494132817334103
emotion_study,normed-barycenter,bowav,random_forest,True,-1,10.0,0.8429615456543335,0.09922811133563102
emotion_study,normed-barycenter,bowav,random_forest,True,-1,15.0,0.8606781520196154,0.08376725721198666
emotion_study,normed-barycenter,bowav,random_forest,True,-1,20.0,0.8716916484107767,0.07942017049464109
emotion_study,normed-barycenter,bowav,random_forest,True,-1,25.0,0.8706181417639974,0.06812233450966983
emotion_study,normed-barycenter,bowav,random_forest,True,-1,30.0,0.8753831329437833,0.07365165606764744
emotion_study,normed-barycenter,bowav,random_forest,True,-1,35.0,0.8770317649478069,0.07126183883267011
emotion_study,normed-barycenter,bowav,random_forest,True,-1,40.0,0.8878037160942516,0.06903167430858481
emotion_study,normed-barycenter,bowav,random_forest,True,-1,45.0,0.9016620069355356,0.06975401498673886
emotion_study,normed-barycenter,bowav,random_forest,True,-1,50.0,0.8979149699807328,0.06889391098342974
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,0.15,0.850852022452113,0.057945059374678816
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,0.325,0.8604335565655434,0.0719891384412944
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,0.5,0.8965332002917358,0.06986930346556038
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,0.65,0.9026336670939286,0.08198209807450378
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,0.825,0.894133354341302,0.07537999369142381
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,1.0,0.8937868480725625,0.08162761385303043
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,2.0,0.8940551301145548,0.09793699601459065
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,3.0,0.900331163872049,0.10174402413533787
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,4.0,0.8919055954464807,0.08492433450298312
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,5.0,0.8889025924434776,0.08633546306637527
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,10.0,0.8910934211811071,0.09136017579060933
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,15.0,0.9077162519022984,0.10099390543869667
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,20.0,0.9192282416751577,0.09167462211466869
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,25.0,0.9263358335285125,0.07582913072903984
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,30.0,0.9231612303539093,0.08219747437382316
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,35.0,0.9347955167097579,0.06807073229798288
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,40.0,0.9443298730879681,0.06243937799083497
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,45.0,0.9517364720912057,0.05277130112757117
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,300,50.0,0.960016147597772,0.03463575589372446
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,1.0,0.8937868480725625,0.08162761385303043
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,2.0,0.8793269499531957,0.1131601061274319
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,3.0,0.87982696234089,0.11247545670487998
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,4.0,0.8701874790171961,0.12565313182283522
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,5.0,0.8855412480551756,0.11346950912028195
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,10.0,0.8870100231824873,0.10503023161747194
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,15.0,0.885818927721866,0.09822282286133685
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,20.0,0.8959756583251987,0.09376762619000902
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,25.0,0.910870900588862,0.0887456406347147
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,30.0,0.9247755615523464,0.08027643642946346
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,35.0,0.923274622193552,0.08178453305310611
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,40.0,0.9246113579398669,0.0801775826135559
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,45.0,0.929127162411517,0.08196754145076585
emotion_study,normed-barycenter,psd_autocorr,random_forest,True,-1,50.0,0.9228559891256747,0.0856172514622104
